제목,본문,날짜,URL
"[임신기록] 6주차 편지: 엄마는 아직도 믿기지 않지만, 너는 분명 여기 있구나.","🌿 6주차, 열무에게
두 번째 만남 — 심장 소리를 듣던 날
두 번째 병원 방문 때는 아빠 대신 엄마 친구랑 함께 갔어.
아직은 너의 모습보단 아기집과 난황이 더 선명하게 보였지만,
의사 선생님 덕분에 너의 심장 소리를 직접 듣고,
작게 뛰고 있는 모습을 보며 마음이 참 안도되었단다.
진짜 신기해.
너가 내 몸 안에서 자라고 있다는 게,
그저 감사하고 경이로워. 🌱
입덧의 시작 — 힘듦 속의 감사
요즘 입덧을 하면 할수록
“아, 너가 잘 자라고 있구나” 하는 생각이 들어.
그래서 힘들면서도 기쁘기도 해.
그래도 다행히 밥 먹을 땐 덜 울렁거리고,
식사 후에도 한두 시간은 괜찮아.
엄마는 괜찮아, 진짜야 ㅎㅎ
신기하게도 입덧도 딱 주수에 맞춰 찾아오는 것 같아.
몸이 변화를 기억하고 있는 것처럼 말이야.
눈물 많은 나날 — 감정의 롤러코스터
웩웩거리는 6주차의 하루하루 속에서
엄마는 요즘 참 눈물이 많아졌어.
행복해서 울고,
슬퍼서 울고,
힘들어서 울고,
즐거워서 울고…
감정이 롤러코",2025. 11. 9. 11:05,https://blog.naver.com/maryham_hi/224069736517
"[임신기록] 4주차 - 안녕 아가야, 반가워!","2025년 10월 17일 금요일 오전 6시 30분
늦잠을 잤다.
6년차 회사생활하면서 늦잠을 잔 적이 처음이다.
(평소 기상시간 05:30)
바로 욕실로 들어가다, 아 맞다 하며
어제 주문한 쿠팡 택배를 문 열어 가져왔다.
혹시 모르니, 넉넉하게 5개를 구매했다.
클리어체크얼리 임신테스트기, 1개입, 4개 - 임신/배란테스트기 | 쿠팡
현재 별점 4.6점, 리뷰 9181개를 가진 클리어체크얼리 임신테스트기, 1개입, 4개! 지금 쿠팡에서 더 저렴하고 다양한 임신/배란테스트기 제품들을 확인해보세요.
www.coupang.com
바로 얼리임테기를 하고 올려둔 채
지각할까봐 양치를 서둘러 하다,
스윽 임테기를 보자마자
2줄이 보였다.
칫솔을 문 채 눈물이 뚝뚝 떨어졌다.
으항. 진짜 아가가 생겼어?
생겼다고?
흥분된 마음과 함께 기쁨이 동반된
아침 출근준비
두근거리는 마음으로 지각해도 괜찮아 뭐어때
한없이 너그러워지며 출근 준비를 했다.
안녕 아가야, 반가워!
출근길 하늘도 온 마음 다해",2025. 11. 1. 19:06,https://blog.naver.com/maryham_hi/224061293773
내가 찾던 다이어리! 오롤리데이 미니 다이어리,"다이어리 유목민인 내가 드디어 다이어리에 정착했다.
11–12월은 항상 내년 다이어리를 물색하는데 시간을 보내는데, 올해는 아주 금방 다이어리를 골랐다.
작년부터 쓰기 시작한 오롤리데이 미니 다이어리!
오롤리데이 2026년 날짜형 다이어리 미니
오롤리데이
npay_plus_available
11,000원
내가 정말 원하는 구성만 딱 들어있고 군더더기없이 컴팩트해서 좋았다.
나는 이번에 라벤더 솝 색으로 구매했다. 💜
매년 새로운 색상들로 제작하는것 같다.
올해 다이어리랑 함께.
요래요래 한손에 딱 들어오고 가로로 넓지 않아서 좋다. 다이어리는 작고 가벼워야지 잘 들고 다닐 수 있다 생각하기 때문에 이정도 사이즈가 나한테 딱이다.
이제 다이어리의 구성을 살펴보자
첫장은 26년 전체 달력과 그 다음해 27년 전체 달력
습관리스트! 내가 젤 좋아하는 페이지!
인앤 아웃으로 새롭게 들이고 싶은 좋은 습관과 버리고 싶은 나쁜 습관으로 나누어져있어 좋다.
매년 이런 일종의 버킷리스트를 작성하는",2025. 11. 2. 22:20,https://blog.naver.com/s_s_lee_/224062333679
[임신기록] 임신 4...,본문 없음,날짜 없음,https://blog.naver.com/cktnwls95
"[일간기록] 변화가 낯설기도 하고, 신기하네","(안녕하세요.. 여러분 혜미입니당!
저는 요즘 웩웩하며 고럭저럭 지내고.. 아니요.. 그냥
널부러지기 반복하는 요즘입니다...
밥먹고 눕다 화장실가다를 반복하는
요즘.. 예 뭐 그렇습니다..)
-
오늘 아침은 기필코 움직이리라! 하며
새벽 여섯시에 깼지만,
울렁거리는 속으로 인해
우리 조금만 더 누워있다 갈까.?
이렇게 말하게 된 나란 사람.
변화는 갑작스레 찾아온다.
오빤 그런 변화를 즐기고 있다.
오빠와 나의 살아가는 속도는 달랐지만
입덧 덕분에 모든게 느려진 나는
자연스레 오빠와 맞춰지며
11월을 보내고 있다.
혜미야 블로그에 글쓰는 게 그렇게 좋아?
-
응 오빠, 엄청 좋아.
잠깐이라도 글을 쓰면 분이 너무 좋아.
노트북 가방 좀 챙겨줘 부탁하고
화장실에서 웩을 한번 하고 양치 후
나선다.
좋아하는 카페에서 맛난 샌드위치도
블루베리 케익도,
디카페인 아메리카노 한모금도
다 좋아.
주절주절 지금 이렇게 타이핑치고 있는
일요일 아침, 오랜만에 다시 일상으로 돌아온 것처럼
다 좋다",2025. 11. 9. 10:19,https://blog.naver.com/maryham_hi
임신 22주 기록 근종통 인줄 알았는데 배뭉침?! 피비침으로 병원행 후기,"임신 22주 기록 근종통 인줄 알았는데 배뭉침?! 피비침으로 병원행 후기
임신 21주 정기검진 정밀초음파 진료 이후로 다음 진료 때까지 한참이 남았구나 싶었는데... 인생...
갑작스러운 배통증과 피비침으로 바로 그 다음주에 병원에 가야 했다.
저번 21주 병원 진료 후 그날 저녁부터 배가 살살 아프기 시작하더니 다음날 걷는 거조차 좀 버거울 정도로 배에 통증이 있었다.
주기적으로 간간이 아프고 움직이지 않고 가만히 앉아 있거나 누워있으면 괜찮아져서 의사샘이 말씀하신 주기적인 배뭉침이나 아니면 워낙 자잘한 근종이 많아서 근종통이라고 생각했다.
게다가 시간 지나면서 통증도 괜찮아지는 거 같아 정말 일시적인 근종통이구나 싶었다.
하지만 결국 4일 후 저녁 늦게 화장실에 갔다가 휴지에 진한 초콜릿색의 피비침과 자잘하게 갈색혈과 핏덩이를 보게 됐다.
그나마 갈색혈과 핏덩이가 3번 정도 보이다가 점점 없어져서 응급실 대신 다음날 병원 가기로 결정했다.
다음날 출근하자마자 병조퇴를 내고 바로 ",2025. 9. 15. 11:03,https://blog.naver.com/white0171/224008459110
제목 없음,본문 없음,날짜 없음,https://section.blog.naver.com/
"[임신기록/32주차] 배크기, 시장 떡볶이, 아기옷 선물, 태동검사, 대학병원 아기 성별, 역아, 비비큐 치킨 반마리","BABY RECORD
32주차
열달의 임신 기록
9개월 진입! 몸무게, 배크기 체크체크
겨울이 용품은 아직도 사야할게 산더미고
이제 곧 겨울이를 만날거 같다는 생각에
설레임도 생기고,, 하루하루 떨리는 마음으로
일주일을 보내는 것 같다
32주차 태동검사 진행
확실히 배가 많이 나왔네
32주차에 진입하면서 보는 나의 배크기. 임신하고서 느끼는 몸은 정말 인체의 신비 그 자체다. 내 몸속에 작은 생명이 자라고 있는 것도 신기하고 저 작은 몸뚱이에서 태어난다는 것도 믿기지 않는다.
다들 뱃속에 있을때가 편한거야~ 라고 하는데 나는 내 몸이 무겁고 입덧때메 힘들었던 기억이 전부라 차라리 빨리 나와서 얼굴 맞대고 있어야 더 좋고 편할 것 같다. 안그래도 얼마 안남았으니 조금만 더 차근히 준비해야지.
32주 배크기
재생
16
좋아요
0
00:31

32주 배크기
바지는 겨울이 낳고 입을 수 있겠지?
비비큐 치킨 반마리 혼자 먹기
재생
1
좋아요
0
00:25

비비큐 치킨 반마리 혼자 먹기
신",2023. 2. 7. 21:39,http://blog.naver.com/kl2214/223008409956
[임신 기록 5] 강남차병원 출산 / 33주 1일차 자궁경부 길이 짧아 입원 / 양수 터짐 / 유도 분만 실패 후 33주 4일차 응급 제왕절개 출산 후기,"8월 20일~8월 23일 기록
33주 1일차 자궁경부 길이 많이 짧아져서 입원 결정함
아침에 병원에 갔다 오후에 입원하기로 해서
집에 들러 남편과 함께 병원 짐을 간소하게 싸는데..
뭔가 밑에서 따뜻한 게 흘러내림 생리대가 젖을 정도였음
나중에 알고 보니.. 양수가 터진 거였음
그것도 모르고 집중치료를 위해 입원한 건데…
양수 터졌고 아기 꺼내야 한다는 말에 너무 놀랐고 당황스러웠다
예정일이 한참 남았는데 조금 무서웠음
입원하고 분만실로 옮기기 전에 태아를 위해서 2번에 걸쳐 폐성숙 주사를 맞아야 한다 함
첫 번째로 맞고, 24시간 다음날 폐성숙 주사 2차까지 맞았음
교수님이 양수가 많이 나와서 수술을 권하셨는데..
자연분만을 고집했던 난 자분을 시도해 본다 했음
다음날 아침 일찍 촉진제를 맞고 관장까지 하고 기다렸는데
몇 시간이 지나도 진통은 왔지만 심하게 오지 않았음
기다리다가 큰일 날 거 같아 아기도 힘들고 나도 힘들 거 같아 수술한다 함
응급수술로 바로 못해서 다음날 오전에 ",2025. 11. 4. 17:12,https://blog.naver.com/hayley06
내돈내산 | 호보니치 5년 다이어리,"원래 살 생각이 없었다.
그런데 올 한 해 나에게 정말 많은 변화가 일어났고 앞으로의 5년을 어떻게 살아갈지 궁금해졌다.
단 한 권으로 5년을 기록할 수 있는 게 큰 매력이라고 생각했다.
가격대가 좀 있어서 노트에 날짜 하나씩 찍어 만들까 하다가 질릴 거 같아서 그냥 샀다.
많은 사람들이 사용 중이라는 건 다 이유가 있겠지 했다.
호보니치 5년 다이어리 (A6 사이즈)
투명 띠지가 있다.
띠지를 떼고 나면 본 모습이 보인다.
띠지를 왜 한 걸까 했는데 뚜껑이 쉽게 열리는 편이라서 해둔 거 같았다.
배송 중에 열리지 말라고(?)
2026년~2030년으로 날짜도 딱 맞아서 좋다.
내 나이에 맞게 하고 싶었지만 그때까지 기다리긴 좀 그랬다.. ㅎ
패키지는 밝은 하늘색이다.
보통은 다이어리 색상에 맞추곤 하던데
호보니치는 색다름이 있어 매력적이라 생각한다.
첫인상은 성경 책 같았다.
그러면서도 무언가 포근함이 느껴졌다.
다이어리를 꺼내어보니 패키지 바닥에 뭔가 적혀있었다.
石に彫りつけてでも",2025. 11. 9. 6:14,https://blog.naver.com/dundun_i/224069595118
